,MMM,ABT,MO,AEP,ADM,BAX,BDX,BA,BMY,CPB,CAT,CVX,CLX,CMS,KO,CL,COP,ED,CSX,CMI,CVS,DE,DTE,ETN,EIX,EMR,ETR,EXC,XOM,F,GE,GD,GIS,GPC,HAL,HSY,HON,HPQ,IBM,IP,JNJ,KMB,KR,LLY,LMT,MCD,MRK,MSI,NEM,NSC,NOC,OXY,PEP,PFE,PPG,PG,PEG,RTX,SPGI,SLB,SHW,SO,UNP,XEL
MMM,1.0,0.34604997605726356,0.32125038210274437,0.317975917313004,0.3537849539843383,0.34219667948835325,0.3119615693079678,0.3919596259583465,0.3372759439578627,0.28771372544382423,0.48969973703493175,0.40637937483227926,0.2880767169983123,0.2704321351316516,0.41194490615504686,0.35839738052407494,0.3368993344562755,0.305728083759534,0.4500147339152078,0.4349789246642059,0.31074057977962993,0.4266558153780272,0.332501675523585,0.49376275533888897,0.29872537587430537,0.5469047919605241,0.2876716677994094,0.3065689433173466,0.4343671983834701,0.38180814143395586,0.5036101574207518,0.3692025806091308,0.2926630753522199,0.4624494105042906,0.3405530287633574,0.32440186157041195,0.4889962794325819,0.3628560972852375,0.38687799208419227,0.4952588108359556,0.3939275274287722,0.3687365326581652,0.2499804186224247,0.31534692009180576,0.3187346152264005,0.3555483968604933,0.33176899889384437,0.33258940052680247,0.11838416866798575,0.4651255462219434,0.3007279186119348,0.33641768416520507,0.3562546875530732,0.3621778675051146,0.5292866405690327,0.40215551110992637,0.35091256698463186,0.46662561918361023,0.3993618596008747,0.3764101428951457,0.4123852133554678,0.3207451222190498,0.4546348736893737,0.2800521678492048
ABT,0.34604997605726356,1.0,0.30337015649943405,0.31810680678608305,0.2816498624147708,0.43400641924099864,0.393005412625645,0.29107140577654733,0.4531662452132491,0.3064691432000266,0.2725291976505376,0.2886160764081883,0.2956503088014611,0.2663367959857785,0.39924404094104043,0.36471828663646466,0.22947805342633953,0.3264649187222057,0.3078059236897067,0.23676261697301615,0.29045306200768667,0.2552552730710943,0.3038619218748307,0.2913386569828936,0.2441023886110859,0.34313468693485344,0.26963656217620907,0.2934021957509414,0.3098234902011602,0.2543658759972019,0.353661469592383,0.28063626925409313,0.3325158823770417,0.31254340670410174,0.20619932560742896,0.31794118194724946,0.31748523412674334,0.256838037349471,0.30334048272671404,0.2737797747354446,0.5263718261237602,0.3318312244979023,0.23320700453458665,0.4360204722805432,0.2704239083277478,0.33902321454409806,0.4682355855683045,0.2519030499412515,0.06850355828780443,0.30984432578062143,0.2588622145275873,0.20792616795910582,0.385443455229596,0.47064223765027025,0.33216459722461594,0.3990368324739434,0.31304037183290045,0.321424490621923,0.3348013206773271,0.22618455107826335,0.3090999566935181,0.3267625859854424,0.3057149909315655,0.2926085950095744
MO,0.32125038210274437,0.30337015649943405,1.0,0.29670423845755967,0.29180721394689907,0.28222268449751886,0.25227166267115214,0.24562824996803798,0.3046050917533927,0.3033192163540147,0.26540332708704056,0.2871440820552352,0.24163684859628862,0.2494087056168297,0.3797445325233264,0.32675910546838915,0.23463758010696972,0.3249718320508039,0.246513049932665,0.21551451711543076,0.2417857971332005,0.25168415334244015,0.3113837395015706,0.24623917586391514,0.2512768058591039,0.30333246678463016,0.2735514102212796,0.27934609167397756,0.3150291586827866,0.2371113297381903,0.3006586923028844,0.2501676944375902,0.3097880466027744,0.29279372265160203,0.21319899382714577,0.3116380149732161,0.28499254574908717,0.2172398928265235,0.25329895506240824,0.276252173359866,0.35071872976196156,0.30743150143444187,0.2224119095555482,0.2916619149997819,0.23685791001145137,0.3114299442334087,0.30992300433508013,0.21418478359545456,0.08399758440391068,0.26125381756433963,0.23374360297555843,0.22437439520706765,0.3694527367979434,0.3084131325754044,0.29391885906201326,0.35401709140325344,0.31325669682850155,0.2731864107460115,0.25811404480635297,0.2447348989904178,0.24386835562966078,0.32413056829632564,0.2595159186695057,0.2788227718417757
AEP,0.317975917313004,0.31810680678608305,0.29670423845755967,1.0,0.2876100387592643,0.27493823847754345,0.26672151360272284,0.27212246550191815,0.2837899160730058,0.3174704016173383,0.27537147438169035,0.31732055156155525,0.28571279711228487,0.5084671394272907,0.38438922549941945,0.34439307689895815,0.24768051544446124,0.6721455318391663,0.29402798141957,0.2724166972349832,0.23853023182417568,0.25091117749828046,0.6379920606965644,0.2794845820032387,0.49137267492114955,0.3210537306798663,0.5824831827871652,0.596073270725513,0.35210231737825076,0.2459386830813291,0.30029503309327515,0.29786668356933194,0.32375573309958294,0.3288579568771206,0.2261450617307707,0.33704200844577903,0.3150524774602115,0.21125513533808546,0.2593619852347204,0.29244786944460055,0.3598160902553373,0.32438211886174007,0.2443558441573906,0.2944704274577202,0.2702253261824539,0.30656993611896866,0.3228714938481901,0.2540942624479714,0.13575813772640102,0.3159635178797409,0.27217247888593044,0.24676904265939328,0.3467275941440933,0.3005463824124584,0.3294362540859057,0.35234561963408717,0.6462487149977844,0.3222584131003773,0.3032335837709041,0.23632327364206898,0.28197581623666595,0.6675238570102888,0.2987138719463986,0.598594969914338
ADM,0.3537849539843383,0.2816498624147708,0.29180721394689907,0.2876100387592643,1.0,0.2720410927408581,0.26809751482842303,0.30847319514433036,0.27382399950390146,0.28659101502094464,0.3664223439144173,0.38910933828640876,0.22334872881739753,0.2627172227421573,0.34643820976153644,0.2993583229870797,0.36116740920226176,0.2810321476159664,0.3441476407022308,0.326859170451684,0.258173869018554,0.35815313831617956,0.31363395419441986,0.35324579918466803,0.2613757938066957,0.3988254833956197,0.27429701608858115,0.3119644702654854,0.40309639860098834,0.2928645893872452,0.3474462632297878,0.28558928358105107,0.2938281379260293,0.3413927645961923,0.32333887764683544,0.3196222846480745,0.3542444691387171,0.25338235967961353,0.2840948320453911,0.35111383838729127,0.32453787658542216,0.2951449022782319,0.22300195324995892,0.26248301967560383,0.2615073555303679,0.2866682007115658,0.28394776384933784,0.2557693911281183,0.14593240753819556,0.3640958893058984,0.2596305158689747,0.34255208862714914,0.31610321389925844,0.3017368144912682,0.3559754583649414,0.31810606815292725,0.3284627161770314,0.34521446382794335,0.3206800642826244,0.3550596453537652,0.28311724258231413,0.3006454520153895,0.35429903924671446,0.26184993469398343
BAX,0.34219667948835325,0.43400641924099864,0.28222268449751886,0.27493823847754345,0.2720410927408581,1.0,0.38927887334038097,0.26291926638263063,0.3639758357734502,0.27707308269617137,0.27629819915051695,0.2794956363126116,0.23854764929409733,0.23368178049927446,0.3572651731269002,0.32425618536312945,0.2381756119583052,0.2702000276410294,0.2795234708119165,0.2421703452147686,0.2624261645033261,0.2442896683401709,0.25586854176905255,0.2836527620119336,0.22260409590124539,0.33095654269218466,0.23003357905187424,0.23723612064310357,0.30849524039920007,0.2414070325530961,0.31820653952214717,0.26175964024535775,0.2907638802320003,0.285002142521424,0.2233198335234101,0.288677104673093,0.29692171009251994,0.2530683374816662,0.27198946314342,0.30474948560426646,0.41594689736109436,0.3124420111974606,0.21007034348587092,0.3511882019223195,0.2336213362972791,0.286643613605803,0.38483469421808625,0.2178601446601195,0.09719185071749155,0.28132375648901276,0.23982302935977162,0.22794370206952658,0.33533781256109957,0.3904501359384264,0.32192242014838457,0.33095257910653475,0.27941246700733663,0.2882346889187342,0.28914792990406174,0.23899714589272364,0.2741837040803081,0.2712111768618387,0.2897547046676072,0.2278670138025701
BDX,0.3119615693079678,0.393005412625645,0.25227166267115214,0.26672151360272284,0.26809751482842303,0.38927887334038097,1.0,0.2565708291135758,0.3473514220057311,0.2611150850347574,0.2707517684812823,0.26434992811236097,0.26342475994536335,0.22764559955343303,0.3072709200238574,0.30127987529329237,0.2176152807642479,0.2685082857907445,0.2760358949577436,0.24416679937456792,0.27725269019493204,0.2380234321939476,0.26882643684296503,0.27823519913643185,0.19752181194842322,0.31161427547157766,0.22129796824456982,0.24242852864465786,0.2712982895246641,0.22896353570284808,0.28676428181911845,0.27096535120758386,0.2813180096809413,0.2926061091575798,0.21085160104509507,0.26016729104347425,0.27778018480169425,0.24768858063255467,0.247409387915335,0.27877620660951774,0.38381029848550496,0.2911003923618308,0.19944980289005043,0.32366183386714426,0.24883395620386506,0.28935614579200714,0.34502976233034977,0.21992688269268262,0.10825394894468103,0.2729656481037983,0.2497708928017841,0.19865499829395122,0.31205163170680417,0.35947557427055005,0.3113953269618536,0.31475773701280063,0.2698270128408074,0.2949199234295821,0.29447779692833503,0.2227712238964555,0.27587085947649,0.25632187528995126,0.28733184084678903,0.2506440404008123
BA,0.3919596259583465,0.29107140577654733,0.24562824996803798,0.27212246550191815,0.30847319514433036,0.26291926638263063,0.2565708291135758,1.0,0.2686264665509525,0.18758864603488287,0.4041891134215775,0.3798170068156718,0.18181610713215993,0.21923570395199957,0.32341633786828106,0.2732504574694578,0.3412156844629446,0.2318506048651703,0.3870245138540287,0.3665435746048429,0.2769653749749147,0.3894605744406586,0.3102309862974805,0.41519479041182117,0.2764814123895782,0.46158570526436365,0.2578624185045577,0.2784899975857959,0.3831366880808199,0.36921798769458897,0.46748842986598177,0.40669422646713405,0.2021104265550288,0.37991280837705127,0.3504828397840533,0.2518815615979915,0.4565830555195048,0.3270581737579919,0.32502205110006954,0.37827337966070895,0.28847119600518084,0.25087539776657003,0.17356062287878873,0.27026532984305873,0.33870696876173695,0.32730874286015943,0.27192374108566364,0.29483864401394205,0.0904278067152355,0.39777637235579644,0.3367831280553609,0.3610240354711047,0.2842264996725622,0.2909822598386916,0.4284610790535953,0.2676552256997183,0.3104882299262047,0.5192883282273761,0.36948029258013565,0.35907807447399437,0.3228026018664101,0.2506899213350267,0.3897923800437853,0.2355007695940234
BMY,0.3372759439578627,0.4531662452132491,0.3046050917533927,0.2837899160730058,0.27382399950390146,0.3639758357734502,0.3473514220057311,0.2686264665509525,1.0,0.2923906050137307,0.290152931635393,0.29659545847332086,0.2802626716266692,0.25432752583211965,0.3706501527736724,0.33619310506475947,0.24867026883611865,0.2700480709259084,0.2840915906427484,0.25325284435480366,0.29802658910946433,0.2727223063990527,0.2933596039223977,0.2706955158167814,0.24136040923480281,0.34475297001023475,0.2562305527636219,0.26076412132835525,0.3117395795755972,0.26098209252822774,0.3522300899938678,0.2617034356766036,0.31202321581870235,0.3093107775227646,0.22208905069838292,0.3067338118766304,0.30976154989198434,0.25756665731642453,0.3001291932042677,0.29724807125488645,0.47604777951332966,0.3226046385100957,0.22926572198802103,0.466422655993656,0.23591266364082392,0.3207144818588563,0.5075302174458763,0.257151480312811,0.07022522855658579,0.2892041544394246,0.25731654257899306,0.21921589472668954,0.3588311440489202,0.5041450294935952,0.32722081045327134,0.3573277127250408,0.29622507392630626,0.309927798529426,0.3093769185088516,0.2502948965554132,0.28727110703913106,0.27970817554090543,0.2987872882639937,0.2618639475235689
CPB,0.28771372544382423,0.3064691432000266,0.3033192163540147,0.3174704016173383,0.28659101502094464,0.27707308269617137,0.2611150850347574,0.18758864603488287,0.2923906050137307,1.0,0.2137990907463327,0.22604042239656003,0.3500649552899961,0.26772467676824685,0.38812624964891224,0.3647309777665416,0.17959995095284575,0.345503593258415,0.22147504473933013,0.20028916276148,0.2382971476957931,0.20814428416638525,0.3011762710627084,0.21565963391958703,0.23554496551442194,0.27193185419817123,0.2510959434620923,0.27483719201793155,0.25943750308812,0.17926901192193503,0.24277392068734432,0.22801319314446683,0.48441524277075065,0.286758437515295,0.1439272371327533,0.4185704302479333,0.24390714493395854,0.16460399496512124,0.21203465054728113,0.23317746659107694,0.34748226032878715,0.3546980807068365,0.25975079449978977,0.2846429359580498,0.21242305955452662,0.2837188850037267,0.30707035639301206,0.16827215738340812,0.07695866032108667,0.23491642292325352,0.22701974838149364,0.15219111205040728,0.3835773946766812,0.29444138510329465,0.2740374084942196,0.38535125981311363,0.3040450930483864,0.2420455514582944,0.23063671423247553,0.16028052437378087,0.26196727161917904,0.32146263542868625,0.22845110841356434,0.30270876296256216
